+----------------------------------------+-----+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Registry name                          |  ID | Effects                                                                                                                                                                                            |
+----------------------------------------+-----+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| extraalchemy:beheading_long            |  97 | PotionEffect:{Potion:[reg:extraalchemy:effect.beheading,name:effect.beheading,isBad:true,isBeneficial:false],amplifier:0,duration:240,isSplashPotion:false,isAmbient:false}                        |
| extraalchemy:beheading_normal          |  96 | PotionEffect:{Potion:[reg:extraalchemy:effect.beheading,name:effect.beheading,isBad:true,isBeneficial:false],amplifier:0,duration:160,isSplashPotion:false,isAmbient:false}                        |
| extraalchemy:beheading_strong          |  98 | PotionEffect:{Potion:[reg:extraalchemy:effect.beheading,name:effect.beheading,isBad:true,isBeneficial:false],amplifier:1,duration:80,isSplashPotion:false,isAmbient:false}                         |
| extraalchemy:charged2_normal           |  76 | PotionEffect:{Potion:[reg:extraalchemy:effect.charged2,name:effect.charged2,isBad:false,isBeneficial:true],amplifier:0,duration:0,isSplashPotion:false,isAmbient:false}                            |
| extraalchemy:charged_normal            |  75 | PotionEffect:{Potion:[reg:extraalchemy:effect.charged,name:effect.charged,isBad:false,isBeneficial:true],amplifier:0,duration:0,isSplashPotion:false,isAmbient:false}                              |
| extraalchemy:cheat_death_normal        |  74 | PotionEffect:{Potion:[reg:extraalchemy:effect.cheatdeath_quiescent,name:effect.cheatDeath_quiescent,isBad:false,isBeneficial:true],amplifier:0,duration:8400,isSplashPotion:false,isAmbient:false} |
| extraalchemy:combustion_long           |  82 | PotionEffect:{Potion:[reg:extraalchemy:effect.combustion,name:effect.combustion,isBad:true,isBeneficial:false],amplifier:0,duration:1000,isSplashPotion:false,isAmbient:false}                     |
| extraalchemy:combustion_normal         |  80 | PotionEffect:{Potion:[reg:extraalchemy:effect.combustion,name:effect.combustion,isBad:true,isBeneficial:false],amplifier:0,duration:600,isSplashPotion:false,isAmbient:false}                      |
| extraalchemy:combustion_strong         |  81 | PotionEffect:{Potion:[reg:extraalchemy:effect.combustion,name:effect.combustion,isBad:true,isBeneficial:false],amplifier:1,duration:400,isSplashPotion:false,isAmbient:false}                      |
| extraalchemy:concentration_normal      |  66 | PotionEffect:{Potion:[reg:extraalchemy:effect.concentration,name:effect.concentration,isBad:false,isBeneficial:true],amplifier:0,duration:0,isSplashPotion:false,isAmbient:false}                  |
| extraalchemy:crumbling_long            |  65 | PotionEffect:{Potion:[reg:extraalchemy:effect.crumbling,name:effect.crumbling,isBad:false,isBeneficial:true],amplifier:0,duration:2000,isSplashPotion:false,isAmbient:false}                       |
| extraalchemy:crumbling_normal          |  63 | PotionEffect:{Potion:[reg:extraalchemy:effect.crumbling,name:effect.crumbling,isBad:false,isBeneficial:true],amplifier:0,duration:1200,isSplashPotion:false,isAmbient:false}                       |
| extraalchemy:crumbling_strong          |  64 | PotionEffect:{Potion:[reg:extraalchemy:effect.crumbling,name:effect.crumbling,isBad:false,isBeneficial:true],amplifier:1,duration:800,isSplashPotion:false,isAmbient:false}                        |
| extraalchemy:detection_normal          |  83 | PotionEffect:{Potion:[reg:extraalchemy:effect.detection,name:effect.detection,isBad:false,isBeneficial:true],amplifier:0,duration:100,isSplashPotion:false,isAmbient:false}                        |
| extraalchemy:dislocation_long          |  53 | PotionEffect:{Potion:[reg:extraalchemy:effect.dislocation,name:effect.dislocation,isBad:false,isBeneficial:true],amplifier:0,duration:600,isSplashPotion:false,isAmbient:false}                    |
| extraalchemy:dislocation_normal        |  51 | PotionEffect:{Potion:[reg:extraalchemy:effect.dislocation,name:effect.dislocation,isBad:false,isBeneficial:true],amplifier:0,duration:300,isSplashPotion:false,isAmbient:false}                    |
| extraalchemy:dislocation_strong        |  52 | PotionEffect:{Potion:[reg:extraalchemy:effect.dislocation,name:effect.dislocation,isBad:false,isBeneficial:true],amplifier:1,duration:200,isSplashPotion:false,isAmbient:false}                    |
| extraalchemy:dispel_normal             |  99 | PotionEffect:{Potion:[reg:extraalchemy:effect.dispel,name:effect.dispel,isBad:true,isBeneficial:false],amplifier:0,duration:0,isSplashPotion:false,isAmbient:false}                                |
| extraalchemy:freezing                  |  50 | PotionEffect:{Potion:[reg:extraalchemy:effect.freezing,name:effect.freezing,isBad:true,isBeneficial:false],amplifier:0,duration:0,isSplashPotion:false,isAmbient:false}                            |
| extraalchemy:fuse_normal               |  41 | PotionEffect:{Potion:[reg:extraalchemy:effect.fuse,name:effect.fuse,isBad:true,isBeneficial:false],amplifier:0,duration:400,isSplashPotion:false,isAmbient:false}                                  |
| extraalchemy:fuse_quick                |  43 | PotionEffect:{Potion:[reg:extraalchemy:effect.fuse,name:effect.fuse,isBad:true,isBeneficial:false],amplifier:0,duration:200,isSplashPotion:false,isAmbient:false}                                  |
| extraalchemy:fuse_strong               |  42 | PotionEffect:{Potion:[reg:extraalchemy:effect.fuse,name:effect.fuse,isBad:true,isBeneficial:false],amplifier:1,duration:600,isSplashPotion:false,isAmbient:false}                                  |
| extraalchemy:gravity_long              |  88 | PotionEffect:{Potion:[reg:extraalchemy:effect.gravity,name:effect.gravity,isBad:true,isBeneficial:false],amplifier:0,duration:2400,isSplashPotion:false,isAmbient:false}                           |
| extraalchemy:gravity_normal            |  87 | PotionEffect:{Potion:[reg:extraalchemy:effect.gravity,name:effect.gravity,isBad:true,isBeneficial:false],amplifier:0,duration:1200,isSplashPotion:false,isAmbient:false}                           |
| extraalchemy:gravity_strong            |  89 | PotionEffect:{Potion:[reg:extraalchemy:effect.gravity,name:effect.gravity,isBad:true,isBeneficial:false],amplifier:1,duration:600,isSplashPotion:false,isAmbient:false}                            |
| extraalchemy:hurry_long                |  73 | PotionEffect:{Potion:[reg:extraalchemy:effect.hurry,name:effect.hurry,isBad:false,isBeneficial:true],amplifier:0,duration:1200,isSplashPotion:false,isAmbient:false}                               |
