+-----------------------------------------------------+-----+
| Registry name                                       |  ID |
+-----------------------------------------------------+-----+
| animania:angrybull1                                 | 602 |
| animania:angrybull2                                 | 603 |
| animania:angrybull3                                 | 604 |
| animania:bullmoo1                                   | 605 |
| animania:bullmoo2                                   | 606 |
| animania:bullmoo3                                   | 607 |
| animania:bullmoo4                                   | 608 |
| animania:bullmoo5                                   | 609 |
| animania:bullmoo6                                   | 610 |
| animania:bullmoo7                                   | 611 |
| animania:bullmoo8                                   | 612 |
| animania:cluck1                                     | 592 |
| animania:cluck2                                     | 593 |
| animania:cluck3                                     | 594 |
| animania:cluck4                                     | 595 |
| animania:cluck5                                     | 596 |
| animania:cluck6                                     | 597 |
| animania:combo                                      | 550 |
| animania:cowdeath1                                  | 613 |
| animania:cowdeath2                                  | 614 |
| animania:coweat1                                    | 615 |
| animania:coweat2                                    | 616 |
| animania:cowhurt1                                   | 619 |
| animania:cowhurt2                                   | 620 |
| animania:crow1                                      | 589 |
| animania:crow2                                      | 590 |
| animania:crow3                                      | 591 |
| animania:dartfrogliving1                            | 584 |
| animania:dartfrogliving2                            | 585 |
| animania:dartfrogliving3                            | 586 |
| animania:dartfrogliving4                            | 587 |
| animania:death1                                     | 600 |
| animania:death2                                     | 601 |
| animania:ferrethurt1                                | 558 |
| animania:ferretliving1                              | 559 |
| animania:ferretliving2                              | 560 |
| animania:ferretliving3                              | 561 |
| animania:ferretliving4                              | 562 |
| animania:ferretliving5                              | 563 |
| animania:ferretliving6                              | 564 |
| animania:frogliving1                                | 577 |
| animania:frogliving2                                | 578 |
| animania:frogliving3                                | 579 |
| animania:goathurt1                                  | 687 |
| animania:goathurt2                                  | 688 |
| animania:goatliving1                                | 682 |
| animania:goatliving2                                | 683 |
| animania:goatliving3                                | 684 |
| animania:goatliving4                                | 685 |
| animania:goatliving5                                | 686 |
| animania:hamsterdeath                               | 551 |
| animania:hamstereat1                                | 552 |
| animania:hamstereat2                                | 553 |
| animania:hamsterhurt1                               | 554 |
| animania:hamsterliving1                             | 555 |
| animania:hamsterliving2                             | 556 |
| animania:hamsterliving3                             | 557 |
| animania:hedgehoghurt1                              | 565 |
| animania:hedgehogliving1                            | 566 |
| animania:hedgehogliving2                            | 567 |
| animania:hedgehogliving3                            | 568 |
| animania:hedgehogliving4                            | 569 |
| animania:hedgehogliving5                            | 570 |
| animania:hog1                                       | 653 |
| animania:hog2                                       | 654 |
| animania:hog3                                       | 655 |
| animania:hog4                                       | 656 |
| animania:hog5                                       | 657 |
| animania:horsehurt1                                 | 632 |
| animania:horsehurt2                                 | 633 |
| animania:horsehurt3                                 | 634 |
| animania:horseliving1                               | 635 |
| animania:horseliving2                               | 636 |
| animania:horseliving3                               | 637 |
| animania:horseliving4                               | 638 |
| animania:horseliving5                               | 639 |
| animania:horseliving6                               | 640 |
| animania:hurt1                                      | 598 |
| animania:hurt2                                      | 599 |
| animania:hurtcalf1                                  | 617 |
| animania:hurtcalf2                                  | 618 |
| animania:kidhurt1                                   | 692 |
| animania:kidhurt2                                   | 693 |
| animania:kidliving1                                 | 689 |
| animania:kidliving2                                 | 690 |
| animania:kidliving3                                 | 691 |
| animania:lambliving1                                | 680 |
| animania:lambliving2                                | 681 |
| animania:moo1                                       | 624 |
| animania:moo2                                       | 625 |
| animania:moo3                                       | 626 |
| animania:moo4                                       | 627 |
| animania:moo5                                       | 628 |
| animania:moo6                                       | 629 |
| animania:moo7                                       | 630 |
| animania:moo8                                       | 631 |
| animania:moocalf1                                   | 621 |
| animania:moocalf2                                   | 622 |
| animania:moocalf3                                   | 623 |
| animania:peacock1                                   | 641 |
| animania:peacock10                                  | 650 |
| animania:peacock2                                   | 642 |
| animania:peacock3                                   | 643 |
| animania:peacock4                                   | 644 |
| animania:peacock5                                   | 645 |
| animania:peacock6                                   | 646 |
| animania:peacock7                                   | 647 |
| animania:peacock8                                   | 648 |
| animania:peacock9                                   | 649 |
| animania:peacockhurt1                               | 651 |
| animania:peacockhurt2                               | 652 |
| animania:pig1                                       | 658 |
