+-------------------------------------+--------------------------------------------------------------+---------+----------+---------+-----------+------------------------------------------------------+--------+-------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------+
*** WARNING ***
The block and item IDs are dynamic and will be different on each world!
DO NOT use them for anything "proper"!! (other than manual editing/fixing of raw world data or something)
*** ALSO ***
The server doesn't have a list of sub block and sub items
(= items with different damage value or blocks with different metadata).
That is why the block and item list dumps only contain one entry per block/item class (separate ID) when run on a server.
NOTE: The metadata value displayed is from the ItemStacks from getSubBlocks(), it's NOT necessarily the metadata value in world!!
NOTE: For blocks, Subtypes = true is only based on the number of returned ItemStacks from getSubBlocks() being > 1
NOTE: For blocks, Subtypes = ? means that Item.getItemFromBlock(block) returned null or the command was run on the server side
The Exists column indicates whether the block currently exists in the game,
or is just a placeholder dummy air block for a remove block read from the block ID map in the level.dat file
+-------------------------------------+--------------------------------------------------------------+---------+----------+---------+-----------+------------------------------------------------------+--------+-------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Mod name                            | Registry name                                                | BlockID | Subtypes | Item ID | Item meta | Display name                                         | Exists | Ore Dict keys                             | NBT                                                                                                                                                           |
+-------------------------------------+--------------------------------------------------------------+---------+----------+---------+-----------+------------------------------------------------------+--------+-------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Animania                            | animania:block_hamster_wheel                                 |     323 |    false |    4434 |         0 | Hamster Wheel                                        | true   |                                           |                                                                                                                                                               |
| Animania                            | animania:block_mud                                           |     318 |    false |    4431 |         0 | Mud                                                  | true   |                                           |                                                                                                                                                               |
| Animania                            | animania:block_nest                                          |     321 |    false |    4433 |         0 | Nest                                                 | true   |                                           |                                                                                                                                                               |
| Animania                            | animania:block_seeds                                         |     322 |    false |         |           | Seeds                                                | true   |                                           |                                                                                                                                                               |
| Animania                            | animania:block_trough                                        |     319 |    false |    4432 |         0 | Trough                                               | true   |                                           |                                                                                                                                                               |
| Animania                            | animania:cheese_friesian                                     |     324 |    false |    4424 |         0 | Cheese Wheel (Friesian)                              | true   |                                           |                                                                                                                                                               |
| Animania                            | animania:cheese_goat                                         |     326 |    false |    4426 |         0 | Cheese Wheel (Goat)                                  | true   |                                           |                                                                                                                                                               |
| Animania                            | animania:cheese_holstein                                     |     325 |    false |    4425 |         0 | Cheese Wheel (Holstein)                              | true   |                                           |                                                                                                                                                               |
| Animania                            | animania:cheese_mold                                         |     328 |    false |    4428 |         0 | Cheese Mold                                          | true   |                                           |                                                                                                                                                               |
| Animania                            | animania:cheese_sheep                                        |     327 |    false |    4427 |         0 | Cheese Wheel (Sheep)                                 | true   |                                           |                                                                                                                                                               |
| Animania                            | animania:invisiblock                                         |     320 |    false |         |           | Trough                                               | true   |                                           |                                                                                                                                                               |
| Animania                            | animania:milk_friesian                                       |     333 |    false |         |           | tile.milk_friesian.name                              | true   |                                           |                                                                                                                                                               |
| Animania                            | animania:milk_goat                                           |     334 |    false |         |           | tile.milk_goat.name                                  | true   |                                           |                                                                                                                                                               |
| Animania                            | animania:milk_holstein                                       |     332 |    false |         |           | tile.milk_holstein.name                              | true   |                                           |                                                                                                                                                               |
| Animania                            | animania:milk_sheep                                          |     335 |    false |         |           | tile.milk_sheep.name                                 | true   |                                           |                                                                                                                                                               |
| Animania                            | animania:salt_lick                                           |     329 |    false |    4429 |         0 | Salt Lick                                            | true   |                                           |                                                                                                                                                               |
| Animania                            | animania:slop                                                |     331 |    false |         |           | tile.slop.name                                       | true   |                                           |                                                                                                                                                               |
| Animania                            | animania:wool                                                |     330 |     true |    4430 |         0 | Wool (Dorset, Brown)                                 | true   | blockWool,wool                            |                                                                                                                                                               |
| Animania                            | animania:wool                                                |     330 |     true |    4430 |         1 | Wool (Friesian, Black)                               | true   | blockWool,wool                            |                                                                                                                                                               |
| Animania                            | animania:wool                                                |     330 |     true |    4430 |         2 | Wool (Friesian, Brown)                               | true   | blockWool,wool                            |                                                                                                                                                               |
| Animania                            | animania:wool                                                |     330 |     true |    4430 |         3 | Wool (Jacob)                                         | true   | blockWool,wool                            |                                                                                                                                                               |
| Animania                            | animania:wool                                                |     330 |     true |    4430 |         4 | Wool (Merino, Brown)                                 | true   | blockWool,wool                            |                                                                                                                                                               |
| Animania                            | animania:wool                                                |     330 |     true |    4430 |         5 | Wool (Merino, White)                                 | true   | blockWool,wool                            |                                                                                                                                                               |
| Animania                            | animania:wool                                                |     330 |     true |    4430 |         6 | Wool (Suffolk, Brown)                                | true   | blockWool,wool                            |                                                                                                                                                               |
| Astral Sorcery                      | astralsorcery:blockaltar                                     |    1293 |     true |    5815 |         0 | Luminous Crafting Table                              | true   |                                           |                                                                                                                                                               |
| Astral Sorcery                      | astralsorcery:blockaltar                                     |    1293 |     true |    5815 |         1 | Starlight Crafting Altar                             | true   |                                           |                                                                                                                                                               |
| Astral Sorcery                      | astralsorcery:blockaltar                                     |    1293 |     true |    5815 |         2 | Celestial Altar                                      | true   |                                           |                                                                                                                                                               |
| Astral Sorcery                      | astralsorcery:blockaltar                                     |    1293 |     true |    5815 |         3 | Iridescent Altar                                     | true   |                                           |                                                                                                                                                               |
| Astral Sorcery                      | astralsorcery:blockattunementaltar                           |    1294 |    false |    5792 |         0 | Attunement Altar                                     | true   |                                           |                                                                                                                                                               |
| Astral Sorcery                      | astralsorcery:blockattunementrelay                           |    1295 |    false |    5793 |         0 | Spectral Relay                                       | true   |                                           |                                                                                                                                                               |
| Astral Sorcery                      | astralsorcery:blockblackmarble                               |    1289 |     true |    5810 |         0 | Sooty Marble                                         | true   |                                           |                                                                                                                                                               |
| Astral Sorcery                      | astralsorcery:blockblackmarble                               |    1289 |     true |    5810 |         1 | Sooty Marble Bricks                                  | true   |                                           |                                                                                                                                                               |
| Astral Sorcery                      | astralsorcery:blockblackmarble                               |    1289 |     true |    5810 |         2 | Sooty Marble Pillar                                  | true   |                                           |                                                                                                                                                               |
| Astral Sorcery                      | astralsorcery:blockblackmarble                               |    1289 |     true |    5810 |         3 | Sooty Marble Arch                                    | true   |                                           |                                                                                                                                                               |
| Astral Sorcery                      | astralsorcery:blockblackmarble                               |    1289 |     true |    5810 |         4 | Chiseled Sooty Marble                                | true   |                                           |                                                                                                                                                               |
| Astral Sorcery                      | astralsorcery:blockblackmarble                               |    1289 |     true |    5810 |         5 | Engraved Sooty Marble                                | true   |                                           |                                                                                                                                                               |
| Astral Sorcery                      | astralsorcery:blockblackmarble                               |    1289 |     true |    5810 |         6 | Runed Sooty Marble                                   | true   |                                           |                                                                                                                                                               |
| Astral Sorcery                      | astralsorcery:blockcelestialcollectorcrystal                 |    1311 |     true |    5817 |         0 | Floating Crystal                                     | true   |                                           | {astralsorcery:{constellationName:"astralsorcery.constellation.aevitas",crystalProperties:{collectiveCapability:100,size:900,purity:100},collectorType:1}}    |
| Astral Sorcery                      | astralsorcery:blockcelestialcollectorcrystal                 |    1311 |     true |    5817 |         0 | Floating Crystal                                     | true   |                                           | {astralsorcery:{constellationName:"astralsorcery.constellation.armara",crystalProperties:{collectiveCapability:100,size:900,purity:100},collectorType:1}}     |
| Astral Sorcery                      | astralsorcery:blockcelestialcollectorcrystal                 |    1311 |     true |    5817 |         0 | Floating Crystal                                     | true   |                                           | {astralsorcery:{constellationName:"astralsorcery.constellation.bootes",crystalProperties:{collectiveCapability:100,size:900,purity:100},collectorType:1}}     |
| Astral Sorcery                      | astralsorcery:blockcelestialcollectorcrystal                 |    1311 |     true |    5817 |         0 | Floating Crystal                                     | true   |                                           | {astralsorcery:{constellationName:"astralsorcery.constellation.discidia",crystalProperties:{collectiveCapability:100,size:900,purity:100},collectorType:1}}   |
| Astral Sorcery                      | astralsorcery:blockcelestialcollectorcrystal                 |    1311 |     true |    5817 |         0 | Floating Crystal                                     | true   |                                           | {astralsorcery:{constellationName:"astralsorcery.constellation.evorsio",crystalProperties:{collectiveCapability:100,size:900,purity:100},collectorType:1}}    |
| Astral Sorcery                      | astralsorcery:blockcelestialcollectorcrystal                 |    1311 |     true |    5817 |         0 | Floating Crystal                                     | true   |                                           | {astralsorcery:{constellationName:"astralsorcery.constellation.fornax",crystalProperties:{collectiveCapability:100,size:900,purity:100},collectorType:1}}     |
| Astral Sorcery                      | astralsorcery:blockcelestialcollectorcrystal                 |    1311 |     true |    5817 |         0 | Floating Crystal                                     | true   |                                           | {astralsorcery:{constellationName:"astralsorcery.constellation.horologium",crystalProperties:{collectiveCapability:100,size:900,purity:100},collectorType:1}} |
| Astral Sorcery                      | astralsorcery:blockcelestialcollectorcrystal                 |    1311 |     true |    5817 |         0 | Floating Crystal                                     | true   |                                           | {astralsorcery:{constellationName:"astralsorcery.constellation.lucerna",crystalProperties:{collectiveCapability:100,size:900,purity:100},collectorType:1}}    |
| Astral Sorcery                      | astralsorcery:blockcelestialcollectorcrystal                 |    1311 |     true |    5817 |         0 | Floating Crystal                                     | true   |                                           | {astralsorcery:{constellationName:"astralsorcery.constellation.mineralis",crystalProperties:{collectiveCapability:100,size:900,purity:100},collectorType:1}}  |
| Astral Sorcery                      | astralsorcery:blockcelestialcollectorcrystal                 |    1311 |     true |    5817 |         0 | Floating Crystal                                     | true   |                                           | {astralsorcery:{constellationName:"astralsorcery.constellation.octans",crystalProperties:{collectiveCapability:100,size:900,purity:100},collectorType:1}}     |
| Astral Sorcery                      | astralsorcery:blockcelestialcollectorcrystal                 |    1311 |     true |    5817 |         0 | Floating Crystal                                     | true   |                                           | {astralsorcery:{constellationName:"astralsorcery.constellation.pelotrio",crystalProperties:{collectiveCapability:100,size:900,purity:100},collectorType:1}}   |
| Astral Sorcery                      | astralsorcery:blockcelestialcollectorcrystal                 |    1311 |     true |    5817 |         0 | Floating Crystal                                     | true   |                                           | {astralsorcery:{constellationName:"astralsorcery.constellation.vicio",crystalProperties:{collectiveCapability:100,size:900,purity:100},collectorType:1}}      |
| Astral Sorcery                      | astralsorcery:blockcelestialcrystals                         |    1309 |     true |    5812 |         0 | Celestial Crystal Cluster                            | true   |                                           |                                                                                                                                                               |
| Astral Sorcery                      | astralsorcery:blockcelestialcrystals                         |    1309 |     true |    5812 |         1 | Celestial Crystal Cluster                            | true   |                                           |                                                                                                                                                               |
| Astral Sorcery                      | astralsorcery:blockcelestialcrystals                         |    1309 |     true |    5812 |         2 | Celestial Crystal Cluster                            | true   |                                           |                                                                                                                                                               |
| Astral Sorcery                      | astralsorcery:blockcelestialcrystals                         |    1309 |     true |    5812 |         3 | Celestial Crystal Cluster                            | true   |                                           |                                                                                                                                                               |
| Astral Sorcery                      | astralsorcery:blockcelestialcrystals                         |    1309 |     true |    5812 |         4 | Celestial Crystal Cluster                            | true   |                                           |                                                                                                                                                               |
| Astral Sorcery                      | astralsorcery:blockcelestialgateway                          |    1306 |    false |    5802 |         0 | Celestial Gateway                                    | true   |                                           |                                                                                                                                                               |
| Astral Sorcery                      | astralsorcery:blockchalice                                   |    1292 |    false |    5791 |         0 | Containment Chalice                                  | true   |                                           |                                                                                                                                                               |
| Astral Sorcery                      | astralsorcery:blockcollectorcrystal                          |    1310 |     true |    5816 |         0 | Floating Crystal                                     | true   |                                           | {astralsorcery:{constellationName:"astralsorcery.constellation.aevitas",crystalProperties:{collectiveCapability:100,size:400,purity:100},collectorType:0}}    |
| Astral Sorcery                      | astralsorcery:blockcollectorcrystal                          |    1310 |     true |    5816 |         0 | Floating Crystal                                     | true   |                                           | {astralsorcery:{constellationName:"astralsorcery.constellation.armara",crystalProperties:{collectiveCapability:100,size:400,purity:100},collectorType:0}}     |
| Astral Sorcery                      | astralsorcery:blockcollectorcrystal                          |    1310 |     true |    5816 |         0 | Floating Crystal                                     | true   |                                           | {astralsorcery:{constellationName:"astralsorcery.constellation.bootes",crystalProperties:{collectiveCapability:100,size:400,purity:100},collectorType:0}}     |
| Astral Sorcery                      | astralsorcery:blockcollectorcrystal                          |    1310 |     true |    5816 |         0 | Floating Crystal                                     | true   |                                           | {astralsorcery:{constellationName:"astralsorcery.constellation.discidia",crystalProperties:{collectiveCapability:100,size:400,purity:100},collectorType:0}}   |
| Astral Sorcery                      | astralsorcery:blockcollectorcrystal                          |    1310 |     true |    5816 |         0 | Floating Crystal                                     | true   |                                           | {astralsorcery:{constellationName:"astralsorcery.constellation.evorsio",crystalProperties:{collectiveCapability:100,size:400,purity:100},collectorType:0}}    |
| Astral Sorcery                      | astralsorcery:blockcollectorcrystal                          |    1310 |     true |    5816 |         0 | Floating Crystal                                     | true   |                                           | {astralsorcery:{constellationName:"astralsorcery.constellation.fornax",crystalProperties:{collectiveCapability:100,size:400,purity:100},collectorType:0}}     |
| Astral Sorcery                      | astralsorcery:blockcollectorcrystal                          |    1310 |     true |    5816 |         0 | Floating Crystal                                     | true   |                                           | {astralsorcery:{constellationName:"astralsorcery.constellation.horologium",crystalProperties:{collectiveCapability:100,size:400,purity:100},collectorType:0}} |
