+-------------------------------------+--------------------------------------------------------------+---------+----------+----------+-----------------------------------------------------------------------+--------------------------------------------------+
*** WARNING ***
The block and item IDs are dynamic and will be different on each world!
DO NOT use them for anything "proper"!! (other than manual editing/fixing of raw world data or something)
*** ALSO ***
The server doesn't have a list of sub block and sub items
(= items with different damage value or blocks with different metadata).
That is why the block and item list dumps only contain one entry per block/item class (separate ID) when run on a server.
+-------------------------------------+--------------------------------------------------------------+---------+----------+----------+-----------------------------------------------------------------------+--------------------------------------------------+
| Mod name                            | Registry name                                                | Item ID | Meta/dmg | Subtypes | Display name                                                          | Ore Dict keys                                    |
+-------------------------------------+--------------------------------------------------------------+---------+----------+----------+-----------------------------------------------------------------------+--------------------------------------------------+
| Akashic Tome                        | akashictome:tome                                             |    5824 |        0 |    false | Akashic Tome                                                          |                                                  |
| AngelRing 2 Bauble                  | flyringbaublemod:angelring                                   |    5755 |        0 |     true | Angel Ring                                                            |                                                  |
| AngelRing 2 Bauble                  | flyringbaublemod:angelring                                   |    5755 |        1 |     true | Angel Ring                                                            |                                                  |
| AngelRing 2 Bauble                  | flyringbaublemod:angelring                                   |    5755 |        2 |     true | Angel Ring                                                            |                                                  |
| AngelRing 2 Bauble                  | flyringbaublemod:angelring                                   |    5755 |        3 |     true | Angel Ring                                                            |                                                  |
| AngelRing 2 Bauble                  | flyringbaublemod:angelring                                   |    5755 |        4 |     true | Angel Ring                                                            |                                                  |
| AngelRing 2 Bauble                  | flyringbaublemod:angelring                                   |    5755 |        5 |     true | Angel Ring                                                            |                                                  |
| AngelRing 2 Bauble                  | flyringbaublemod:birdcage                                    |    5757 |        0 |     true | Bird Cage                                                             |                                                  |
| AngelRing 2 Bauble                  | flyringbaublemod:birdcage                                    |    5757 |        1 |     true | Pet Parrot (in bird cage)                                             |                                                  |
| AngelRing 2 Bauble                  | flyringbaublemod:flyingring                                  |    5756 |        0 |     true | Flying Ring                                                           |                                                  |
| AngelRing 2 Bauble                  | flyringbaublemod:flyingring                                  |    5756 |        1 |     true | Flying Ring                                                           |                                                  |
| AngelRing 2 Bauble                  | flyringbaublemod:pair                                        |    5758 |        0 |    false | PAIR (Parrot Array Including Redundancy)                              |                                                  |
| Animania                            | animania:bacon_omelette                                      |    4205 |        0 |    false | Bacon Omelette                                                        |                                                  |
| Animania                            | animania:block_hamster_wheel                                 |    4434 |        0 |    false | Hamster Wheel                                                         |                                                  |
| Animania                            | animania:block_mud                                           |    4431 |        0 |    false | Mud                                                                   |                                                  |
| Animania                            | animania:block_nest                                          |    4433 |        0 |    false | Nest                                                                  |                                                  |
| Animania                            | animania:block_trough                                        |    4432 |        0 |    false | Trough                                                                |                                                  |
| Animania                            | animania:blue_peacock_feather                                |    4193 |        0 |    false | Blue Peacock Feather                                                  | feather                                          |
| Animania                            | animania:brown_egg                                           |    4252 |        0 |    false | Egg                                                                   | egg,listAllegg                                   |
